phylo,fPC1,fPC2,fPC3,mPC1,mPC2,mPC3,nonforest,Habitat,Strata,Forest.Dependency,Migration,mAvgBrill,fAvgBrill,Iris,Bill
Amaurospiza_concolor,-4.344538197,0.888468233,-0.21289142,-1.201481512,-5.490843347,-0.340996732,closed,Forest ,U,Medium,Sedintary,0.086075266,0.111223053,0,0
Cardinalis_cardinalis,-0.255828599,0.374044536,-0.452117436,0.500778389,1.375908926,0.510091829,open,Semi-open ,O,Low,Sedintary,0.119409789,0.126811214,0,1
Cardinalis_phoeniceus,-0.247439383,0.532344493,-0.66549321,-0.145164819,2.409825438,0.396216205,open,Scrub ,O,None,Sedintary,0.130572866,0.142805241,0,0
Cardinalis_sinuatus,-1.155367335,0.026382253,-0.985552489,0.820956049,0.03572824,-0.329375701,open,Scrub ,O,None,Sedintary,0.138285873,0.143763227,0,1
Caryothraustes_canadensis,-2.669441579,1.811541902,0.180303439,-2.72186612,2.201774422,0.13869294,closed,Forest ,C,High,Sedintary,0.123297188,0.111987419,0,0
Caryothraustes_poliogaster,1.133818636,0.265957266,0.626837682,0.747986179,0.430180283,0.332432744,closed,Forest ,C,Medium,Sedintary,0.11376729,0.102938667,0,0
Chlorothraupis_carmioli,0.3120364,-0.138751204,1.727532139,0.24954975,-0.523175274,1.922957451,closed,Forest ,U,Medium,Sedintary,0.06858279,0.071815691,0,0
Chlorothraupis_olivacea,-0.04427014,-0.004439729,0.773025254,-0.406026275,0.102674359,1.290282818,closed,Forest ,U,Medium,Sedintary,0.081461254,0.095089902,1,0
Chlorothraupis_stolzmanni,-0.840591631,-0.138963808,1.34994021,-0.451106414,-0.129577591,1.109974264,closed,Forest ,U,Medium,Sedintary,0.081617347,0.076111806,0,0
Cyanocompsa_brissonii,-2.847610964,1.029179307,1.266305815,1.519919289,-3.429446676,1.250026949,closed,Semi-open ,U,Medium,Sedintary,0.070589824,0.080059594,0,0
Cyanocompsa_cyanoides,-3.572470391,0.166084758,1.593129019,-3.57825307,-8.040061441,0.823037441,closed,Forest ,U,Medium,Sedintary,0.049054427,0.062902995,0,0
Cyanocompsa_parellina,-4.10240713,1.381452089,1.15620415,2.475403457,-2.388639172,1.084161711,closed,Scrub ,U,Medium,Sedintary,0.079156811,0.080066469,0,0
Cyanoloxia_glaucocaerulea,-3.441740494,1.021612164,0.35255438,-0.199196226,-3.899934909,-0.280615054,open,Semi-open ,O,Low,Sedintary,0.10022627,0.103066001,0,0
Granatellus_pelzelni,1.143992535,-0.317545352,-0.787815017,3.678231493,-1.424295629,-0.073249839,closed,Forest ,C,Medium,Sedintary,0.136727054,0.159519747,0,0
Granatellus_sallaei,-1.143861148,-0.379110333,-0.444718094,3.477783128,-2.10406236,-0.174445473,closed,Forest ,U,Medium,Sedintary,0.131073113,0.140234373,0,0
Granatellus_venustus,-0.835993445,-0.124372722,-1.046320267,1.459954565,-1.729195949,-0.83525352,closed,Scrub ,U,High,Sedintary,0.150923085,0.158028389,0,0
Habia_atrimaxillaris,-0.501513561,-2.192793433,0.981334631,-0.646837813,-0.3805251,0.793311342,closed,Forest ,U,Medium,Sedintary,0.090190824,0.075139551,1,0
Habia_fuscicauda,-3.776105536,0.269345979,0.541238999,-0.265131996,1.232684669,1.192332364,closed,Scrub ,U,Medium,Sedintary,0.093630605,0.078957492,0,0
Habia_gutturalis,-0.636146836,0.120689913,0.98753485,-0.043860995,0.725098051,1.37221765,closed,Forest ,U,Low,Sedintary,0.088845315,0.084699295,0,0
Habia_rubica,-2.775691636,0.453846368,0.081252599,-0.411257242,1.398635345,0.726707625,closed,Forest ,U,High,Sedintary,0.108798167,0.098121224,0,0
Passerina_amoena,-2.251590497,-0.10663974,-1.579629069,2.987563816,-0.820416301,-1.635631147,open,Semi-open ,O,Medium,Migratory,0.207809842,0.164532847,0,0
Passerina_caerulea,-2.821599535,0.539428105,-0.544581032,3.545287618,-1.035023352,0.126550651,open,Semi-open ,O,Medium,Migratory,0.126915215,0.130502095,0,0
Passerina_ciris,-1.623973471,-0.306817533,-1.610028337,5.523776384,0.706958786,-0.38892893,open,Semi-open ,O,None,Migratory,0.160822895,0.159956119,0,0
Passerina_cyanea,-2.505010359,-0.661916072,-1.313840273,2.253736468,-1.879514552,-0.972583788,open,Semi-open ,O,Medium,Migratory,0.144471634,0.141458731,0,0
Passerina_leclancherii,0.874056176,0.892140707,-1.373291657,4.323774126,0.81551402,-1.456215043,open,Scrub ,O,Medium,Sedintary,0.229720486,0.181630174,0,0
Passerina_rositae,-2.751915539,0.152587015,-0.91839333,3.927817018,-0.670775936,-1.561229687,closed,Scrub ,U,Medium,Sedintary,0.206089138,0.144424924,0,0
Passerina_versicolor,-4.084538345,0.028307782,-0.885727263,2.50969314,-1.579067601,-0.149980575,open,Scrub ,O,None,Migratory,0.115237871,0.126037307,0,0
Periporphyrus_erythromelas,0.620460105,-0.155034992,1.162799108,0.899501832,0.88820824,1.867693578,closed,Forest ,U,High,Sedintary,0.08243549,0.086865421,0,0
Pheucticus_aureoventris,1.872634639,-0.73717363,0.215563387,1.615725382,-0.822136649,-0.071187152,open,Scrub ,O,Medium,Sedintary,0.128857019,0.116367261,0,0
Pheucticus_chrysogaster,1.627666484,1.00717324,-0.732775572,3.366529091,1.240492236,-0.46949493,open,Semi-open ,O,Low,Sedintary,0.172765488,0.161930808,0,0
Pheucticus_ludovicianus,-3.529970803,-0.82939996,-2.026763892,1.96266218,-1.514444573,-1.486019587,closed,Forest ,C,Medium,Migratory,0.194820222,0.163538498,0,1
Pheucticus_melanocephalus,-0.642661118,-0.444989126,-1.098676756,2.359826939,0.001651196,0.3786182,closed,Semi-open ,C,High,Migratory,0.116395853,0.148349315,0,0
Pheucticus_tibialis,2.137997189,0.742956778,0.677566877,2.715887845,0.625149023,0.975148367,closed,Semi-open ,C,Medium,Sedintary,0.106970809,0.109874399,0,0
Piranga_bidentata,-0.401236309,1.223485217,-0.755591172,1.862994391,1.723693222,0.073462231,closed,Forest ,C,Medium,Sedintary,0.142289891,0.164193816,0,0
Piranga_erythrocephala,-1.74611503,0.492571724,-0.549005177,1.638731125,1.381382486,-0.152105187,closed,Forest ,U,Medium,Sedintary,0.139027532,0.132815441,0,0
Piranga_flava,-1.439427207,1.148215046,-0.360389851,-0.568248313,1.221249605,-0.068529985,open,Forest ,C,Low,Sedintary,0.133198399,0.139215548,0,0
Piranga_leucoptera,0.0821166,0.719356501,-0.350285835,2.540318518,1.231777117,0.773355732,closed,Forest ,C,Medium,Sedintary,0.115850583,0.139674337,0,0
Piranga_ludoviciana,-0.564257403,0.649506065,-0.593568452,2.954593922,1.281832322,-0.257356645,closed,Forest ,C,Medium,Migratory,0.150917977,0.141960901,0,1
Piranga_olivacea,-2.427405219,0.671281992,-0.897605558,2.603401037,2.064959652,0.411779727,closed,Forest ,C,Medium,Migratory,0.14399778,0.150402437,0,1
Piranga_roseogularis,-3.222298533,-0.018940024,-0.826665002,-0.090018971,-0.267215639,-0.468127891,closed,Forest ,C,Medium,Sedintary,0.126771825,0.124526889,0,0
Piranga_rubra,-2.71638302,1.727432596,-0.273274535,-0.260851159,1.559494629,0.055300773,closed,Forest ,C,Low,Migratory,0.124563161,0.128330204,0,1
Piranga_rubriceps,2.682412496,1.853322874,0.527217472,2.533740239,2.139088108,0.592410728,closed,Forest ,C,Medium,Sedintary,0.125190337,0.119305932,0,0
Rhodothraupis_celaeno,-1.450947576,-0.910221227,0.44496925,-0.253416367,-2.21875429,2.091395768,closed,Forest ,U,Medium,Sedintary,0.056211121,0.091478738,0,0
Spiza_americana,-2.092344006,0.234607634,-1.588204157,1.162094632,0.596932314,-0.888936636,open,Semi-open ,O,None,Migratory,0.156669192,0.165971328,0,0
